Date,Open,High,Low,Close,Volume,Price,Change In Price,Divergence Factor 1,Divergence Factor 2,Divergence Factor 3,Divergence Factor 4,DF Avg Rank,% Rank of DF Avgs,Divergence Factor 1 Rank,Divergence Factor 2 Rank,Divergence Factor 3 Rank,Divergence Factor 4 Rank,Momentum Factor 1,Momentum Factor 2,Momentum Factor 3,Momentum Factor 4,Momentum Factor 1 Rank,Momentum Factor 2 Rank,Momentum Factor 3 Rank,Momentum Factor 4 Rank,MF Avg Rank,% Rank of MF Avgs,RSI,MACD,WPCTR,CCI,CCI Percentile,PNL Percentile,pdi,mdi,adx
2019-05-01 16:00:00+00:00,8.638539999999999,8.76994,8.608,8.75946,693412,8.75946,0.013900672157120814,-0.0834323071313226,-0.31343230713132264,-0.0249529626629973,0.5909302325581396,1.0,1.0,1.0,1.0,1.0,1.0,0.01815277327736986,-4.138957810804101,298.8540389476062,166.9052658497217,1.0,1.0,1.0,1.0,1.0,1.0,83.64341832554143,0.03538381030640103,-3.374983897977382,104.79512971421565,0.8209302325581396,0.23,33.98424885225927,16.942969193537756,25.109571524382407
2019-05-02 16:00:00+00:00,8.75944,8.78848,8.69668,8.7057,657945,8.7057,-0.006156275670040683,-0.024503828723237975,-0.19850382872323796,-0.013947073994081245,0.656232558139535,1.0,1.0,1.0,1.0,1.0,1.0,0.022279983481878318,4.368236768531034,175.8503049726028,90.29716162973818,1.0,1.0,0.0,0.0,0.5,0.0,73.11212308780635,0.038277134371394794,-27.392455327597574,106.3865981725356,0.8302325581395349,0.174,32.508139451293474,15.129118962257651,25.92188722549655
2019-05-03 16:00:00+00:00,8.705639999999999,8.7105,8.693439999999999,8.702539999999999,85971,8.702539999999999,-0.00036304646933972535,-0.006883888107516778,-0.17888388810751676,-0.017624951160904463,0.5373023255813953,0.625,0.0,1.0,1.0,0.5,0.0,0.026934863459977976,8.630152640089293,113.11640049916267,126.81355098626176,1.0,1.0,0.0,0.5,0.625,0.5,71.43609229078935,0.03985569727848137,-28.660997165249626,72.85521549493538,0.7093023255813954,0.172,31.826243189668503,15.210143083820427,26.59361355901539
2019-05-05 16:00:00+00:00,8.74966,8.76416,8.72386,8.73136,336729,8.73136,0.0033062052957283025,-0.01588269000364645,-0.22388269000364644,-0.02088529787121744,0.6059534883720931,0.5,0.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.029746010297973413,1.9223918729682623,75.06276227300258,123.85241245350159,1.0,0.33333333333333337,0.0,0.33333333333333337,0.41666666666666674,0.0,74.03200938131113,0.04293729844752825,-19.049524762381033,102.86600789547306,0.813953488372093,0.208,35.99463058819558,14.06272172730543,27.82360984320641
2019-05-06 16:00:00+00:00,8.73138,8.75632,8.6995,8.753589999999999,373566,8.753589999999999,0.0025427595706672555,-0.013694848153357309,-0.2336948481533573,-0.022305362141513324,0.5637209302325582,0.375,0.0,0.75,0.25,0.25,0.25,0.030165615253121558,3.166086205135173,89.23196082978389,228.5805023995863,1.0,0.5,0.25,1.0,0.6875,0.75,75.04018034189805,0.04663567772871602,-11.635817908954756,92.91983202097441,0.7837209302325582,0.22,33.48610528209241,16.070503848775527,28.346412224568883
2019-05-07 16:00:00+00:00,8.75358,8.78512,8.72691,8.76021,484867,8.76021,0.0007559753240620928,-0.024881491899776065,-0.25688149189977605,-0.02433780868054584,0.626139534883721,0.35000000000000003,0.0,0.2,0.2,0.2,0.8,0.02398102522934309,-4.446587616376846,85.60297070504181,191.28536872974655,0.4,0.0,0.2,0.8,0.35000000000000003,0.0,77.94477678666445,0.04952989878687042,-9.428047357011572,115.40235525505095,0.858139534883721,0.232,34.62776743805193,14.923088798003462,29.16213817051345
2019-05-08 16:00:00+00:00,8.76023,8.79808,8.74006,8.78068,525518,8.78068,0.0023339761314770113,-0.013434390790227624,-0.2554343907902276,-0.02433677954063667,0.6510232558139535,0.5833333333333333,0.5,0.8333333333333333,0.33333333333333337,0.33333333333333337,0.8333333333333333,0.016453941589865906,-10.264536910780805,116.984106014568,185.97648473694468,0.0,0.0,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.0,76.19868127828674,0.05286594207987605,-6.741311843787643,125.46115830028012,0.8930232558139535,0.242,33.75286444817909,13.860796471899409,30.06327606645252
2019-05-09 16:00:00+00:00,8.7807,8.79852,8.71777,8.7286,541135,8.7286,-0.005948862955877273,0.06261915924363182,-0.1393808407563682,-0.016305003086823686,0.525906976744186,0.7142857142857143,0.7142857142857143,1.0,1.0,0.8571428571428571,0.0,0.017747264190392187,0.1425171823115221,98.43502967257037,134.83261920582868,0.14285714285714288,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.28571428571428575,64.28210893406121,0.05072266041964113,-35.834358343583446,77.11257593382453,0.727906976744186,0.202,30.49885813811979,15.185707554092614,30.31013553736923
2019-05-10 16:00:00+00:00,8.72862,8.73547,8.708039999999999,8.71367,66730,8.71367,-0.0017119335552424476,0.12213366671875814,-0.06386633328124186,-0.015666610646761774,0.3605116279069767,0.71875,0.75,1.0,1.0,0.875,0.0,0.019228388573248267,0.2684744763258209,86.22084609584878,190.00030985795794,0.375,0.5,0.25,0.75,0.46875,0.5,56.1492790500424,0.047274417974502825,-44.5360067184546,17.805476438903707,0.5465116279069767,0.186,29.45987935390119,15.876787282841406,30.28516158039651
2019-05-12 16:00:00+00:00,8.73227,8.7632,8.70498,8.757710000000001,368649,8.757710000000001,0.0050413983641326935,0.09541074126165544,-0.13258925873834457,-0.020562504721386286,0.4324651162790698,0.611111111111111,0.4444444444444444,0.8888888888888888,0.8888888888888888,0.5555555555555556,0.1111111111111111,0.01098393173846901,-2.6527169922374867,-1.9982392657435266,246.53705135246645,0.0,0.33333333333333337,0.0,1.0,0.33333333333333337,0.1111111111111111,59.70952886999647,0.04754722611036932,-21.420323325634484,55.65094032540966,0.6604651162790698,0.228,30.772499672249033,14.729818563450456,30.64028171430337
