Date,Open,High,Low,Close,Volume,Price,Change In Price,Divergence Factor 1,Divergence Factor 2,Divergence Factor 3,Divergence Factor 4,DF Avg Rank,% Rank of DF Avgs,Divergence Factor 1 Rank,Divergence Factor 2 Rank,Divergence Factor 3 Rank,Divergence Factor 4 Rank,Momentum Factor 1,Momentum Factor 2,Momentum Factor 3,Momentum Factor 4,Momentum Factor 1 Rank,Momentum Factor 2 Rank,Momentum Factor 3 Rank,Momentum Factor 4 Rank,MF Avg Rank,% Rank of MF Avgs,RSI,MACD,WPCTR,CCI,CCI Percentile,PNL Percentile,pdi,mdi,adx
2019-05-01 16:00:00+00:00,18.678,18.734,18.615,18.633,49033,18.633,-0.002305074863414939,0.10081523154659583,-0.5391847684534041,0.03641576583884491,-0.30279069767441863,1.0,1.0,1.0,1.0,1.0,1.0,0.1907435311846477,1.9053743451462708,-293.5651800568886,-492.67428755433866,1.0,1.0,1.0,1.0,1.0,1.0,9.797297297296922,-0.2899209175232187,-96.06801275239117,-91.15701091519743,0.3372093023255814,0.64,10.284296876018864,30.44093316198,27.634465456925437
2019-05-02 16:00:00+00:00,18.634,18.694000000000003,18.604,18.634,36584,18.634,5.366678295764212e-05,0.1039276970359952,-0.5390723029640048,0.031607523136490186,-0.26858139534883724,0.75,0.0,1.0,1.0,0.0,1.0,0.18733471009273828,-5.308174846040004,-272.61994204142917,-634.324353332617,0.0,0.0,1.0,0.0,0.25,0.0,1.3546798029555873,-0.28868830399382617,-95.8605664488017,-85.46067850846363,0.3744186046511628,0.643,9.989106204715547,29.918000619539587,29.227589996266726
2019-05-03 16:00:00+00:00,18.634,18.652,18.596,18.616,4259,18.616,-0.0009664430282426003,0.1071182997343335,-0.5228817002656665,0.03643786723487048,-0.24860465116279068,1.0,1.0,1.0,1.0,1.0,1.0,0.1521359504327755,-10.229576581438508,-208.42286205414786,-898.6892995272892,0.0,0.0,1.0,0.0,0.25,0.5,1.7133956386291658,-0.2858685833768497,-97.15909090909098,-84.15776714931471,0.3813953488372093,0.63,9.800606285856569,29.623010793110904,30.731371587222828
2019-05-05 16:00:00+00:00,18.461,18.52,18.332,18.418,20284,18.418,-0.010692978700815321,0.09968224201698182,-0.4543177579830182,0.04361661000409397,-0.38190697674418606,0.5,0.0,0.0,1.0,1.0,0.0,0.122585515366616,-3.2831991151209223,-195.46096210229092,-688.4569442936262,0.0,0.6666666666666667,1.0,0.33333333333333337,0.5,0.6666666666666667,1.0739856801909866,-0.2961965107182287,-90.88016967126207,-136.9414704402294,0.17209302325581396,0.554,8.884907871153125,35.540554603314625,32.82204727112237
2019-05-06 16:00:00+00:00,18.419,18.434,17.845,17.895,40330,17.895,-0.028807103081186156,0.06695577433974059,-0.33504422566025943,0.06269547644966214,-0.3833953488372093,0.5,0.25,0.0,1.0,1.0,0.0,0.11542679256132615,-5.700698695643169,-493.4339200894099,-1105.3366862252035,0.0,0.25,0.0,0.0,0.0625,0.0,0.6622516556291487,-0.34263353059289514,-96.50349650349645,-226.43012024443416,0.018604651162790697,0.402,7.350917287720502,43.67967330942811,35.562626321573696
2019-05-07 16:00:00+00:00,17.894000000000002,17.942,17.732,17.795,36092,17.795,-0.005603825255833056,0.05321664843465125,-0.3447833515653488,0.07043673418213456,-0.3886976744186047,0.45,0.0,0.0,0.8,1.0,0.0,0.1671351801918064,9.356940135685306,-556.8980050575982,-1225.625175611125,0.6,1.0,0.0,0.0,0.4,0.6,0.6414825374198472,-0.38308836347939135,-95.84432717678087,-231.82544365923675,0.009302325581395349,0.398,6.893909080415652,44.309448429473065,38.241898260501166
2019-05-08 16:00:00+00:00,17.796,17.84,17.514,17.567,39913,17.567,-0.012895376930910205,0.05002604573631297,-0.34197395426368704,0.0826446670631855,-0.3338604651162791,0.5833333333333333,0.5,0.0,0.8333333333333333,1.0,0.5,0.251851037392985,28.03114297681533,-687.6529857118451,-1269.4256275971995,1.0,1.0,0.0,0.0,0.5,0.8333333333333333,0.5649717514124433,-0.4286061002026642,-96.84147794994036,-190.09518444694748,0.05813953488372093,0.392,6.244845622899323,46.43364038095656,40.95967103858736
2019-05-09 16:00:00+00:00,17.563,18.137999999999998,17.561,18.014,46973,18.014,0.025127091330305204,-0.0178491430952753,-0.4338491430952753,0.05151578705714215,-0.13227906976744186,0.5357142857142858,0.42857142857142855,0.0,0.5714285714285715,0.5714285714285715,1.0,0.24427683961735625,7.8487399193844425,-369.15732208282594,-1015.8765404685255,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.6071428571428571,0.8571428571428571,23.974763406940028,-0.42372562498354327,-68.78901373283396,-105.96994347166822,0.2837209302325581,0.416,13.152855349326241,39.368602394101664,41.59929134541944
2019-05-10 16:00:00+00:00,18.012,18.416,18.0,18.366,19436,18.366,0.019351895829779316,-0.18137729853622964,-0.7153772985362297,0.035681913167091246,0.09623255813953491,0.28125,0.0,0.0,0.0,0.125,1.0,0.2366756665496368,1.9547653909902465,-168.79015572253007,-664.2709354241526,0.75,0.625,1.0,0.75,0.78125,0.875,39.84220907297833,-0.3869933367066416,-35.843373493975854,-29.56046978020256,0.6302325581395349,0.534,18.823777268417242,35.20912129470478,40.793967309856725
2019-05-12 16:00:00+00:00,18.271,18.406,17.839000000000002,17.92,32507,17.92,-0.024583721644545926,-0.10218523727665779,-0.5081852372766578,0.05837935913424588,0.09167441860465114,0.5277777777777778,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.6666666666666667,0.8888888888888888,0.2675901244988701,7.795388477716756,-397.8794642857128,-883.3705357142848,1.0,0.6666666666666667,0.33333333333333337,0.5555555555555556,0.6388888888888888,0.7777777777777777,32.65966046887635,-0.3893826454730984,-69.40467219291614,-58.81536995036598,0.49767441860465117,0.406,16.2964747126924,34.294257613986964,40.42120226766061
